,French,English
0,partie,part
1,seulement,only
2,police,police
3,pensais,thought
4,aide,help
5,demande,request
6,genre,kind
7,mois,month
8,frère,brother
9,laisser,let
10,car,because
11,mettre,to put
12,laisse,leash
13,eux,them
14,chaque,each
15,parlé,speak
16,arrivé,come
17,devrait,should
18,bébé,baby
19,heures,hours
20,vont,will
21,pendant,while
22,revoir,meet again
23,aucune,any
24,place,square
25,parle,speak
26,compris,understood
27,savais,knew
28,étaient,were
29,attention,Warning
30,voici,here is
31,pourrais,could
32,affaire,case
33,donner,give
34,type,type
35,leurs,their
36,donné,given
37,train,train
38,corps,body
39,endroit,place
40,yeux,eyes
41,façon,way
42,écoute,listen
43,dont,whose
44,trouve,find
45,premier,first
46,perdu,lost
47,main,hand
48,première,first
49,côté,side
50,pouvoir,power
51,vieux,old
52,sois,be
53,tiens,here
54,matin,morning
55,tellement,so much
56,enfant,child
57,point,point
58,venu,came
59,suite,after
60,pardon,sorry
61,venez,come
62,devant,in front of
63,minutes,minutes
64,demandé,request
65,chambre,bedroom
66,mis,placed
67,belle,beautiful
68,aimerais,would like to
69,aujourd'hui,today
70,mari,husband
71,cause,cause
72,enfin,finally
73,eau,water
74,attendez,Wait
75,parti,left
76,nouvelle,new
77,boulot,job
78,dirait,would say
79,terre,Earth
80,compte,account
81,donne,given
82,loin,far
83,fin,end
84,croire,believe
85,chérie,sweetheart
86,gros,large
87,plutôt,rather
88,aura,will have
89,filles,girls
90,jouer,to play
